Assessment ID,User Name,User Email,Topic,Software Version,Legacy vs New,Start,End,Duration (h:mm:ss),Duration (mins),Duration (seconds),Num Correct,Num Possible,Score Percentage,Passed,Proctored,Proctor,Northstar Location,Tags
1000116,Firstname Lastname,example@email.com,Internet Basics,,New,2023-07-06 15:13:26.101389-04:00,2023-07-06 15:17:44.624857-04:00,0:04:18,4,18,34,34,100,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000117,Firstname Lastname,example@email.com,Basic Computer Skills,,New,2023-07-06 15:05:42.004022-04:00,2023-07-06 15:12:29.164225-04:00,0:06:47,6,47,35,38,86.111,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000119,AAA BBB,aaabbb@email.com,Mac OS,,New,2023-07-07 09:03:58.986654-04:00,2023-07-07 09:08:11.156853-04:00,0:04:12,4,12,24,26,94.048,Y,N,,Drexel University,"2 Complete, BFLC, K-12 Caregiver (PHLConnectED), Night Class"
1000120,AAA BBB,aaabbb@email.com,Windows,10,New,2023-07-07 08:59:28.400447-04:00,2023-07-07 09:03:27.927397-04:00,0:03:59,3,59,26,26,100,Y,Y,Proctor Name,Drexel University,"2 Complete, BFLC, K-12 Caregiver (PHLConnectED), Night Class"
1000121,AAA BBB,aaabbb@email.com,Microsoft Word,Office 2016,New,2023-07-07 08:17:01.779375-04:00,2023-07-07 08:19:42.938066-04:00,0:02:41,2,41,23,26,91.071,Y,Y,Proctor Name,Drexel University,"2 Complete, BFLC, K-12 Caregiver (PHLConnectED), Night Class"
1000122,AAA BBB,aaabbb@email.com,Using Email,,New,2023-07-07 08:12:13.229994-04:00,2023-07-07 08:16:29.920181-04:00,0:04:16,4,16,0,32,0,N,Y,Proctor Name,Drexel University,"2 Complete, BFLC, K-12 Caregiver (PHLConnectED), Night Class"
1000123,AAA BBB,aaabbb@email.com,Using Email,,New,2023-07-06 15:17:57.401798-04:00,2023-07-06 15:23:43.966455-04:00,0:05:46,5,46,28,32,90.769,Y,N,,Drexel University,"2 Complete, BFLC, K-12 Caregiver (PHLConnectED), Night Class"
1000124,AAA BBB,aaabbb@email.com,Internet Basics,,New,2023-07-06 15:13:26.101389-04:00,2023-07-06 15:17:44.624857-04:00,0:04:18,4,18,34,34,100,Y,N,,Drexel University,"2 Complete, BFLC, K-12 Caregiver (PHLConnectED), Night Class"
1000125,AAA BBB,aaabbb@email.com,Basic Computer Skills,,New,2023-07-06 15:05:42.004022-04:00,2023-07-06 15:12:29.164225-04:00,0:06:47,6,47,35,38,86.111,Y,N,,Drexel University,"2 Complete, BFLC, K-12 Caregiver (PHLConnectED), Night Class"
1000126,Apple Pie,apple@pie.com,Your Digital Footprint,,New,2024-05-28 09:15:12.788765-04:00,2024-05-28 09:17:42.434581-04:00,0:02:29,2,29,6,17,31.818,N,N,,Drexel University,"5 Complete, BFLC, Day, Certified - 4, Laptop"
1000127,Apple Pie,apple@pie.com,Your Digital Footprint,,New,2024-05-28 09:12:08.336101-04:00,2024-05-28 09:14:49.806484-04:00,0:02:41,2,41,8,17,50,N,N,,Drexel University,"5 Complete, BFLC, Day, Certified - 4, Laptop"
1000128,Great Hat,greathat@exaple.com,Information Literacy,,New,2024-05-25 23:18:14.048392-04:00,2024-05-25 23:37:41.270183-04:00,0:19:27,19,27,28,32,92.105,Y,N,,Drexel University,"6 Complete, Digital Navigator, Self-Paced, Laptop, Certified - 6"
1000129,Great Hat,greathat@exaple.com,Using Email,,New,2024-05-21 11:08:42.367569-04:00,2024-05-21 11:24:48.967931-04:00,0:16:06,16,6,31,32,97.436,Y,Y,Proctor Name,Drexel University,"6 Complete, Digital Navigator, Self-Paced, Laptop, Certified - 6"
1000130,Great Hat,greathat@exaple.com,Microsoft Excel,Office 2016,New,2024-05-21 10:55:33.280164-04:00,2024-05-21 11:01:50.912958-04:00,0:06:17,6,17,31,31,100,Y,Y,Proctor Name,Drexel University,"6 Complete, Digital Navigator, Self-Paced, Laptop, Certified - 6"
